-300   -300   -200   
300   -300   -200   
300   -250   -200   
-300   -250   -200   
#

-300   -200   -200   
300   -200   -200   
300   -150   -200   
-300   -150   -200   
#

-300   -100   -200   
300   -100   -200   
300   -50   -200   
-300   -50   -200   
#

300   6.95217e-310   -200   
-300   6.95217e-310   -200   
300   50   -200   
-300   50   -200   
#

-300   100   -200   
300   100   -200   
300   150   -200   
-300   150   -200   
#

-300   200   -200   
300   200   -200   
300   250   -200   
-300   250   -200   
#

-300   300   -200   
300   300   -200   
300   -300   -200   
-300   -300   -200   
#

-300   300   -200   
-250   300   -200   
-250   -300   -200   
-200   -300   -200   
#

-200   300   -200   
-150   300   -200   
-150   -300   -200   
-100   -300   -200   
#

-100   300   -200   
-50   300   -200   
-50   -300   -200   
6.95217e-310   300   -200   
#

6.95217e-310   -300   -200   
50   -300   -200   
50   300   -200   
100   -300   -200   
#

100   300   -200   
150   300   -200   
150   -300   -200   
200   -300   -200   
#

200   300   -200   
250   300   -200   
250   -300   -200   
300   -300   -200   
#

300   300   -200   
-300   -300   -200   
300   -300   -200   
300   -250   -200   
#

-300   -250   -200   
-300   -200   -200   
300   -200   -200   
300   -150   -200   
#

-300   -150   -200   
-300   -100   -200   
300   -100   -200   
-300   -50   -200   
#

300   -50   -200   
300   6.95217e-310   -200   
-300   6.95217e-310   -200   
300   50   -200   
#

-300   50   -200   
-300   100   -200   
300   100   -200   
300   150   -200   
#

-300   150   -200   
-300   200   -200   
300   200   -200   
300   250   -200   
#

-300   250   -200   
-300   300   -200   
300   300   -200   
300   -300   -200   
#

-300   -300   -200   
-300   300   -200   
-250   300   -200   
-250   -300   -200   
#

-200   -300   -200   
-200   300   -200   
-150   300   -200   
-150   -300   -200   
#

-100   -300   -200   
-100   300   -200   
-50   300   -200   
-50   -300   -200   
#

6.95217e-310   300   -200   
6.95217e-310   -300   -200   
50   -300   -200   
50   300   -200   
#

100   -300   -200   
100   300   -200   
150   300   -200   
150   -300   -200   
#

200   -300   -200   
200   300   -200   
250   300   -200   
250   -300   -200   
#

300   -300   -200   
